,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
22,-50.59330368041992,0.05699240788817406,0.16091398894786835,-14.762958526611328,9.999999747378752e-05,200.0,-148.88650512695312,63.0
23,-51.46017074584961,0.04127130284905434,0.14858368039131165,-15.452995300292969,9.999999747378752e-05,200.0,-156.6324462890625,63.0
24,-46.41067886352539,0.05244245380163193,0.13719095289707184,-16.10624885559082,9.999999747378752e-05,200.0,-172.0604248046875,63.0
25,-42.30637741088867,0.03744511306285858,0.12667660415172577,-16.6690616607666,9.999999747378752e-05,200.0,-199.83578491210938,63.0
26,-47.91868591308594,0.049108490347862244,0.11696991324424744,-16.993629455566406,9.999999747378752e-05,200.0,-193.51319885253906,63.0
27,-43.94395446777344,0.04995337873697281,0.10799866169691086,-17.686100006103516,9.999999747378752e-05,200.0,-205.190673828125,63.0
28,-42.99269485473633,0.04061705619096756,0.09971477836370468,-18.5808162689209,9.999999747378752e-05,200.0,-199.96792602539062,63.0
29,-40.22929000854492,0.04023560881614685,0.09206446260213852,-19.107412338256836,9.999999747378752e-05,200.0,-197.4130401611328,63.0
30,-35.72283172607422,0.03525925800204277,0.08499383181333542,-19.636276245117188,9.999999747378752e-05,200.0,-199.65115356445312,63.0
31,-35.937591552734375,0.036363475024700165,0.07847263664007187,-20.32203483581543,9.999999747378752e-05,200.0,-201.206298828125,63.0
32,-33.74817657470703,0.02635512873530388,0.07245665043592453,-20.771434783935547,9.999999747378752e-05,200.0,-199.85580444335938,63.0
33,-30.77086639404297,0.01993471011519432,0.06690195202827454,-21.280681610107422,9.999999747378752e-05,200.0,-183.2528533935547,63.0
34,-29.672121047973633,0.025283804163336754,0.06177899241447449,-22.02657127380371,9.999999747378752e-05,200.0,-179.67689514160156,62.0
35,-27.77828025817871,0.0310681015253067,0.057053327560424805,-22.62740135192871,9.999999747378752e-05,200.0,-165.50521850585938,63.0
36,-27.73256492614746,0.01367394719272852,0.05269043892621994,-22.974828720092773,9.999999747378752e-05,200.0,-164.76034545898438,63.0
37,-26.317230224609375,0.01930898055434227,0.048658572137355804,-23.434974670410156,9.999999747378752e-05,200.0,-159.9206085205078,63.0
38,-22.955989837646484,0.00894885417073965,0.044938214123249054,-23.9678955078125,9.999999747378752e-05,200.0,-149.09658813476562,63.0
39,-23.005233764648438,0.008863968774676323,0.041496891528367996,-24.63854217529297,9.999999747378752e-05,200.0,-150.24098205566406,62.0
