,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
60,-264.168212890625,133.0,175.2646942138672,91.5462417602539,9.999999747378752e-05,200.0,-271.9639587402344,200.0
61,-257.1064453125,133.0,173.9503936767578,107.8390121459961,9.999999747378752e-05,200.0,-323.6585998535156,200.0
62,-251.9517059326172,133.0,173.81163024902344,94.71568298339844,9.999999747378752e-05,200.0,-273.0697326660156,200.0
63,-248.9287872314453,133.0,172.78848266601562,91.26060485839844,9.999999747378752e-05,200.0,-284.982421875,200.0
64,-243.25975036621094,133.0,171.56150817871094,88.62487030029297,9.999999747378752e-05,200.0,-246.2480926513672,200.0
65,-234.44662475585938,133.0,169.54930114746094,87.40695190429688,9.999999747378752e-05,200.0,-230.1116943359375,200.0
66,-227.11416625976562,133.0,167.62742614746094,94.61927032470703,9.999999747378752e-05,200.0,-206.9321746826172,200.0
67,-223.4407501220703,133.0,165.96185302734375,84.45946502685547,9.999999747378752e-05,200.0,-194.24807739257812,200.0
68,-215.10694885253906,133.0,163.21591186523438,91.720703125,9.999999747378752e-05,200.0,-197.43630981445312,200.0
69,-213.19384765625,133.0,162.6458740234375,85.95390319824219,9.999999747378752e-05,200.0,-191.71865844726562,200.0
70,-211.2261505126953,133.0,160.7272491455078,82.3214340209961,9.999999747378752e-05,200.0,-187.53256225585938,200.0
71,-209.41458129882812,133.0,160.14479064941406,89.29148864746094,9.999999747378752e-05,200.0,-172.72714233398438,200.0
72,-209.2618408203125,133.0,158.44029235839844,82.09878540039062,9.999999747378752e-05,200.0,-156.21353149414062,200.0
73,-206.77012634277344,133.0,156.59808349609375,76.60401153564453,9.999999747378752e-05,200.0,-173.53292846679688,200.0
74,-204.46726989746094,132.0,155.14529418945312,82.0936279296875,9.999999747378752e-05,200.0,-309.6077880859375,200.0
75,-200.83848571777344,133.0,153.0096435546875,72.51663208007812,9.999999747378752e-05,200.0,-140.9419403076172,200.0
76,-196.20555114746094,133.0,152.637451171875,76.54985046386719,9.999999747378752e-05,200.0,-170.36459350585938,200.0
77,-187.6011199951172,132.0,148.241455078125,79.5887451171875,9.999999747378752e-05,200.0,-196.99620056152344,200.0
78,-183.56060791015625,132.0,147.57643127441406,76.8008804321289,9.999999747378752e-05,200.0,-168.9056854248047,200.0
